p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
77; 728; 728.0; 728; 320; 320.0; 320; 1.887480834369995E-7; 1.887480834369959E-7; 2.074848863426345E-10; 9.120214784291626E-11
80; 728; 728.0; 728; 332; 332.0; 332; 1.9619866709064127E-7; 1.9619866709062988E-7; 2.241885724224463E-10; 1.0223984346737934E-10
84; 728; 728.0; 728; 348; 348.0; 348; 2.0613277924786373E-7; 2.061327792478584E-7; 2.4746596889091935E-10; 1.1829417194236256E-10
88; 728; 728.0; 728; 364; 364.0; 364; 2.160668915704181E-7; 2.1606689157041179E-7; 2.718928671100101E-10; 1.3594643355500506E-10
92; 728; 728.0; 728; 380; 380.0; 380; 2.2600100403673937E-7; 2.2600100403673728E-7; 2.9746926708037205E-10; 1.5527241962986457E-10
96; 728; 728.0; 728; 396; 396.0; 396; 2.3593511692491612E-7; 2.3593511692490818E-7; 3.2419516961610746E-10; 1.7634792193403648E-10
100; 1240; 1240.0; 1240; 412; 412.0; 412; 2.4586922975800007E-7; 2.458692297579909E-7; 5.996806471665343E-10; 1.9924873115533238E-10
105; 1240; 1240.0; 1240; 432; 432.0; 432; 2.5828687130667405E-7; 2.5828687130666436E-7; 6.617841102627031E-10; 2.305570448657159E-10
110; 1240; 1240.0; 1240; 452; 452.0; 452; 2.70704513318585E-7; 2.7070451331860194E-7; 7.269468606281266E-10; 2.649838556483171E-10
115; 1240; 1240.0; 1240; 472; 472.0; 472; 2.831221553625927E-7; 2.8312215536261316E-7; 7.951688961831427E-10; 3.0267719274068013E-10
120; 1240; 1240.0; 1240; 492; 492.0; 492; 2.955397981452279E-7; 2.9553979814521365E-7; 8.664502210941192E-10; 3.437850877244409E-10
125; 1240; 1240.0; 1240; 512; 512.0; 512; 3.0795744112310787E-7; 3.079574411230819E-7; 9.407908325873186E-10; 3.884555695844412E-10
131; 1240; 1240.0; 1240; 536; 536.0; 536; 3.228586130182715E-7; 3.228586130182565E-7; 1.0340378252807174E-9; 4.469711889923101E-10
137; 1240; 1240.0; 1240; 560; 560.0; 560; 3.377597855320266E-7; 3.377597855320174E-7; 1.1316901934085332E-9; 5.110858937974021E-10
143; 1240; 1240.0; 1240; 580; 583.9996; 584; -3.466402338470279E-7; 6.992748183706897E-5; 4.850733894345021E-5; 2.2845376241967217E-5
150; 1240; 1240.0; 1240; 608; 611.9992; 612; -9.632886591167182E-7; 9.427646679160155E-5; 8.816947773182287E-5; 4.351584664217209E-5
157; 1240; 1240.0; 1240; 636; 639.9992; 640; -8.86455972935673E-7; 9.007272073660728E-5; 8.048190260727683E-5; 4.153899458317346E-5
164; 1240; 1240.0; 1240; 664; 667.9992; 668; -8.14698114418338E-7; 8.622782921876455E-5; 7.375756623526184E-5; 3.9733867128307994E-5
172; 1240; 1240.0; 1240; 696; 699.9992; 700; -7.38108383410496E-7; 8.221687926828967E-5; 6.705538314723589E-5; 3.7853802063515E-5
180; 1240; 1240.0; 1240; 728; 731.9992; 732; -6.665605622065287E-7; 7.856246060078329E-5; 6.122683733924429E-5; 3.614354512165883E-5
188; 1240; 1240.0; 1240; 760; 763.9992; 764; -5.994110030485747E-7; 7.521906108602778E-5; 5.612643893458271E-5; 3.4581092294250035E-5
197; 2264; 2264.0; 2264; 796; 799.9992; 800; -5.28457876087228E-7; 7.178232651552845E-5; 9.332574586847289E-5; 3.297726238258906E-5
206; 2264; 2264.0; 2264; 832; 835.9992; 836; -4.6175146906659516E-7; 6.864590126305623E-5; 8.534844877705509E-5; 3.15155631178706E-5
216; 2264; 2264.0; 2264; 872; 875.9992; 876; -3.919683105916373E-7; 6.54675458199764E-5; 7.762802395267017E-5; 3.0036257455883345E-5
226; 2264; 2264.0; 2264; 912; 915.9992; 916; -3.261628371635008E-7; 6.257048348055552E-5; 7.090966457896342E-5; 2.8689574216695595E-5
237; 2264; 2264.0; 2264; 956; 959.9992; 960; -2.577701102032524E-7; 5.9666117638185456E-5; 6.447954579877768E-5; 2.7341127377734067E-5
248; 2264; 2264.0; 2264; 1000; 1003.9992; 1004; -1.9302103371432526E-7; 5.7019434320037804E-5; 5.888602220288772E-5; 2.611374522212081E-5
