p = 12; number of cycles = 10000; data structure = Hash4j UltraLogLog ML
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
26; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.37988393605483E-5; 0.00752462862217724; 1.8698200656173753; 1.8553253364265432
27; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.7440133814143555E-5; 0.0075234432713658; 1.8692310084639372; 1.8547408456076275
28; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -7.941788113631277E-6; 0.00759701098300374; 1.9059661537250432; 1.891191222300818
29; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.8594249002865136E-5; 0.007525102947306294; 1.8700558063142312; 1.8555592496761364
30; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 3.733173194269402E-5; 0.0075337588282985085; 1.8743604092678594; 1.8598304836146202
31; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 3.537058983419259E-5; 0.007561836486543469; 1.888357597529444; 1.8737191665408437
32; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 4.988332762863004E-5; 0.007515047256647842; 1.86506128634493; 1.8506034469158996
33; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 7.38169464001466E-5; 0.0074664866680048065; 1.8410359265512097; 1.8267643302213554
34; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 5.790504930329013E-5; 0.0075214266385823314; 1.8682290610343153; 1.8537466652123438
35; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 8.686235783354247E-5; 0.007452684648091763; 1.834235799511921; 1.820016917345162
36; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 6.996279963774413E-5; 0.007512965217393868; 1.8640280013189994; 1.8495781718514102
37; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 8.202037747979245E-5; 0.007481490727410808; 1.8484425605271226; 1.8341135484300133
38; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 9.437036745618015E-5; 0.007451594684638378; 1.8336993206765801; 1.8194845972604827
39; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.1942432405975474E-4; 0.00743058106535125; 1.8233717788082153; 1.8092371138562138
40; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.2607769289399077E-4; 0.007416508840574916; 1.81647202209793; 1.8023908436320548
42; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.221595552191299E-4; 0.0074516246775619315; 1.833714082111295; 1.819499244265471
44; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.0125893480129444E-4; 0.00748021578497203; 1.8478126173381302; 1.8334884885215554
