p = 12; number of cycles = 10000; data structure = Google Zetasketch Sparse
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
856; 5560; 6102.6432; 6848; 1318; 1382.9504; 1443; 3.2126168224299064E-5; 0.011444311852591635; 6.394216447745655; 1.449025267296707
898; 4336; 6102.5752; 6888; 1375; 1434.4388; 1499; 8.596881959910914E-5; 0.011390115167902283; 6.333727251538634; 1.488772169202335
942; 4336; 6102.6608; 7040; 1424; 1487.202; 1552; 1.0201698513800425E-4; 0.011358528281894417; 6.298735128541973; 1.5349847857573669
989; 5560; 6132.3216; 7232; 1473; 1542.0792; 1605; 4.186046511627907E-5; 0.01137538253840349; 6.348146347808666; 1.5963520963270597
1038; 5864; 6587.1536; 8536; 1532; 1597.9125; 1661; 6.936416184971098E-5; 0.011435091617906639; 6.890759214561871; 1.6715611859177832
1089; 6152; 6735.5432; 8536; 1580; 1654.5124; 1715; 1.0101010101010101E-4; 0.01153977358914327; 7.175582945247516; 1.7626033428366308
1143; 6272; 6739.168; 8536; 1635; 1712.583; 1777; 3.762029746281715E-6; 0.01155099857526197; 7.193418550599985; 1.8280188773513548
1200; 6400; 6739.4576; 8536; 1684; 1772.1566; 1840; -4.2749999999999996E-5; 0.011652673155403729; 7.320926769298667; 1.9250553178536667
1260; 6440; 6942.424; 9352; 1752; 1832.8688; 1907; -3.111111111111111E-5; 0.011709795026885846; 7.615522529676996; 2.010573488502293
1323; 6440; 8323.6376; 9624; 1817; 1894.8041; 1972; 9.168556311413455E-5; 0.011739446543170082; 9.176950633376194; 2.089053430872436
1389; 7488; 9441.3808; 9656; 1889; 1957.3685; 2044; 9.23686105111591E-5; 0.011818623720526231; 10.55016648888947; 2.1872397684783405
1458; 7832; 9467.012; 9656; 1947; 2020.5188; 2096; 1.1165980795610425E-4; 0.011832597687620905; 10.603838674652502; 2.2631486465109014
1530; 7832; 9467.188; 9984; 2012; 2083.9243; 2171; 2.4052287581699346E-5; 0.011856382095862667; 10.64670846737443; 2.343561202141262
