p = 8; sample_size = 100
true distinct count; compressed bytes hll6 bzip2; compressed bytes hll6 lzma; compressed bytes hll6 deflate; compressed bytes hll6 zstd; compressed bytes hll8 bzip2; compressed bytes hll8 lzma; compressed bytes hll8 deflate; compressed bytes hll8 zstd; compressed bytes ull bzip2; compressed bytes ull lzma; compressed bytes ull deflate; compressed bytes ull zstd
329.0; 183.43; 193.6; 152.51; 153.7; 140.19; 171.91; 127.37; 114.71; 177.85; 204.25; 150.93; 140.69
345.0; 184.83; 194.72; 153.8; 154.93; 140.91; 173.02; 127.97; 115.29; 179.65; 206.57; 152.01; 142.29
362.0; 186.53; 196.01; 155.12; 156.27; 141.99; 174.09; 128.54; 115.62; 181.4; 209.02; 153.46; 143.81
380.0; 187.71; 197.05; 156.16; 157.27; 142.69; 175.08; 128.99; 116.12; 183.05; 210.83; 154.17; 145.59
398.0; 188.94; 197.99; 157.21; 158.5; 143.1; 175.54; 129.61; 116.28; 184.51; 212.81; 155.21; 147.4
417.0; 190.05; 198.88; 158.49; 159.61; 143.73; 176.1; 130.0; 116.56; 186.15; 214.88; 156.12; 148.88
437.0; 190.96; 199.37; 159.87; 161.26; 144.29; 176.53; 130.26; 116.78; 187.64; 216.45; 157.22; 150.28
458.0; 191.65; 200.17; 160.78; 162.11; 144.69; 176.65; 130.58; 117.12; 188.97; 217.81; 157.84; 151.85
480.0; 192.74; 201.14; 161.88; 163.24; 145.17; 177.17; 130.9; 117.35; 190.26; 218.93; 158.89; 153.61
503.0; 193.86; 201.83; 162.75; 164.38; 145.32; 177.68; 131.32; 117.62; 191.61; 220.34; 159.61; 155.32
528.0; 194.7; 202.36; 163.69; 165.55; 145.85; 177.64; 131.28; 118.05; 192.95; 220.78; 160.46; 156.91
554.0; 195.75; 202.9; 164.76; 166.63; 146.69; 177.43; 131.45; 118.73; 194.41; 221.7; 161.24; 158.85
581.0; 196.54; 203.49; 165.18; 167.48; 147.02; 177.72; 131.83; 119.0; 195.37; 222.33; 162.28; 160.35
610.0; 196.82; 203.7; 165.99; 168.3; 147.35; 177.93; 131.95; 119.37; 196.16; 222.56; 162.85; 161.06
640.0; 198.15; 203.83; 166.78; 169.02; 147.93; 177.47; 132.2; 119.57; 197.53; 222.66; 163.65; 162.32
672.0; 198.1; 204.09; 167.87; 169.71; 148.18; 178.08; 132.47; 119.38; 198.44; 222.65; 164.63; 163.37
705.0; 198.62; 204.19; 168.16; 170.52; 148.24; 177.93; 132.3; 119.69; 199.31; 222.91; 165.12; 164.22
740.0; 198.77; 204.17; 168.5; 171.01; 148.36; 177.8; 132.59; 119.92; 200.35; 222.52; 165.57; 165.1
776.0; 199.07; 204.24; 168.93; 171.48; 148.48; 178.26; 132.53; 119.8; 201.57; 221.84; 166.14; 165.94
814.0; 199.54; 204.59; 169.34; 172.16; 148.8; 178.32; 132.8; 119.58; 202.07; 221.46; 166.7; 166.9
854.0; 199.89; 204.5; 169.85; 172.61; 149.33; 178.39; 132.79; 119.85; 202.87; 221.31; 167.38; 167.35
896.0; 200.63; 204.98; 170.44; 173.07; 149.54; 178.76; 132.9; 119.93; 203.78; 220.89; 167.73; 167.96
940.0; 200.68; 204.94; 170.76; 173.52; 149.64; 178.84; 132.98; 120.13; 205.23; 220.18; 168.16; 168.35
986.0; 200.7; 205.28; 171.36; 173.84; 149.43; 178.62; 133.16; 120.17; 205.45; 219.78; 168.63; 168.61
1035.0; 200.97; 205.18; 171.55; 174.22; 149.99; 178.63; 133.11; 120.21; 205.76; 218.86; 169.04; 169.28
1086.0; 202.22; 205.29; 172.22; 175.01; 150.29; 179.01; 133.21; 120.13; 206.36; 218.01; 169.45; 169.61
1140.0; 202.07; 205.48; 172.74; 175.45; 150.23; 179.18; 133.25; 120.33; 206.78; 216.91; 169.73; 170.17
1197.0; 202.66; 205.48; 173.4; 175.94; 150.52; 179.05; 133.49; 120.55; 207.45; 216.38; 170.03; 170.59
1256.0; 202.92; 205.63; 173.55; 176.47; 150.78; 179.17; 133.63; 120.76; 208.06; 216.26; 170.36; 170.97
1318.0; 203.27; 205.77; 174.12; 176.93; 151.21; 179.19; 133.58; 120.79; 208.46; 215.34; 170.52; 171.33
1383.0; 203.62; 206.08; 174.59; 177.24; 151.69; 179.45; 133.78; 120.94; 208.78; 214.54; 170.79; 171.69
1452.0; 203.2; 206.37; 174.79; 177.54; 151.58; 179.25; 133.74; 121.12; 208.38; 213.89; 170.53; 171.65
1524.0; 203.06; 206.38; 175.23; 177.77; 151.39; 179.74; 133.79; 120.99; 208.07; 213.24; 170.73; 171.46
1600.0; 203.7; 206.46; 175.77; 178.06; 151.17; 179.53; 133.84; 121.0; 208.39; 212.89; 170.71; 171.75
1680.0; 203.98; 206.72; 175.98; 178.39; 151.44; 180.44; 134.03; 120.82; 208.42; 212.02; 171.01; 171.8
1763.0; 203.92; 207.03; 176.75; 178.7; 151.69; 179.94; 133.78; 120.96; 207.82; 211.63; 170.98; 171.96
1851.0; 204.75; 207.11; 177.13; 179.23; 151.8; 179.61; 133.91; 120.83; 207.96; 210.8; 171.1; 171.64
1943.0; 204.58; 206.98; 177.49; 179.56; 151.73; 179.54; 134.0; 120.92; 208.46; 210.19; 171.07; 171.63
2040.0; 204.63; 207.03; 177.84; 179.91; 152.04; 179.46; 134.09; 120.83; 208.27; 209.45; 171.01; 171.65
2141.0; 205.3; 207.1; 177.91; 180.13; 152.13; 179.3; 134.13; 121.07; 208.96; 209.44; 171.13; 172.1
2248.0; 205.25; 207.0; 178.1; 180.14; 152.0; 179.6; 134.04; 121.38; 208.34; 209.92; 171.23; 172.16
2360.0; 205.38; 206.91; 178.44; 180.16; 151.94; 179.63; 134.2; 121.15; 207.94; 209.21; 171.18; 171.82
2477.0; 206.1; 207.02; 178.64; 180.38; 152.38; 179.56; 134.01; 121.53; 208.34; 209.44; 171.22; 172.05
2600.0; 206.42; 206.91; 178.97; 180.47; 152.23; 179.36; 134.05; 121.54; 208.82; 209.29; 171.12; 172.03
2729.0; 206.09; 207.19; 179.5; 180.65; 152.37; 179.92; 134.25; 121.58; 208.27; 209.16; 170.92; 172.09
2865.0; 206.16; 207.32; 179.71; 180.98; 152.29; 179.66; 134.31; 121.54; 207.73; 209.74; 170.76; 172.11
3008.0; 206.43; 207.32; 179.6; 180.96; 152.49; 180.11; 134.46; 121.64; 207.29; 209.12; 170.5; 171.87
3158.0; 206.37; 206.75; 179.79; 181.13; 152.32; 180.09; 134.44; 121.59; 207.3; 209.86; 170.67; 172.21
3315.0; 206.38; 207.03; 179.65; 181.03; 152.26; 179.81; 134.64; 121.46; 207.36; 209.73; 170.81; 172.45
3480.0; 206.79; 206.96; 179.58; 181.03; 152.48; 180.27; 134.58; 121.22; 207.33; 210.01; 170.93; 172.79
3653.0; 206.3; 206.98; 179.83; 181.09; 152.62; 180.02; 134.74; 121.3; 207.19; 210.16; 170.88; 172.28
3835.0; 206.57; 206.84; 179.67; 181.11; 152.56; 180.54; 134.73; 121.54; 207.56; 210.5; 171.01; 171.82
4026.0; 206.11; 206.62; 179.87; 180.88; 152.13; 179.59; 134.46; 121.43; 207.35; 210.22; 170.96; 172.23
4227.0; 206.08; 206.35; 179.98; 180.86; 152.48; 180.02; 134.66; 121.55; 207.85; 210.9; 170.85; 172.71
4438.0; 206.55; 206.4; 179.94; 180.81; 152.57; 180.14; 134.56; 121.57; 207.95; 211.23; 171.25; 172.7
4659.0; 206.74; 206.57; 180.06; 180.78; 152.6; 180.17; 134.48; 121.58; 207.43; 211.33; 170.98; 172.54
4891.0; 206.58; 206.63; 179.87; 180.66; 152.33; 180.56; 134.52; 121.83; 206.99; 211.68; 170.9; 172.75
5135.0; 206.46; 206.54; 180.08; 180.53; 152.61; 180.88; 134.68; 122.03; 206.99; 212.14; 170.67; 172.22
5391.0; 206.93; 206.49; 180.46; 180.44; 152.08; 180.79; 134.72; 121.74; 207.25; 212.47; 170.5; 172.5
5660.0; 206.54; 206.23; 180.32; 180.38; 152.75; 180.93; 134.44; 122.22; 207.01; 212.71; 170.4; 172.92
5942.0; 205.82; 206.3; 180.08; 180.31; 152.33; 180.77; 134.46; 121.82; 207.13; 213.14; 170.51; 172.67
6239.0; 205.86; 206.3; 180.2; 180.27; 152.36; 180.43; 134.36; 121.93; 207.24; 212.7; 170.47; 172.21
6550.0; 205.83; 206.72; 180.53; 180.1; 152.21; 180.56; 134.5; 121.89; 206.9; 213.4; 170.29; 172.53
6877.0; 205.39; 206.97; 180.58; 180.07; 151.77; 180.4; 134.28; 121.72; 206.7; 213.48; 170.23; 172.77
7220.0; 205.86; 207.25; 180.65; 180.11; 152.21; 180.61; 134.5; 121.53; 207.25; 213.69; 170.27; 172.78
7580.0; 205.21; 207.36; 180.64; 180.23; 152.27; 180.6; 134.54; 121.66; 207.42; 214.05; 170.41; 172.44
7959.0; 205.19; 207.05; 180.49; 180.02; 152.14; 180.41; 134.49; 121.88; 207.23; 214.82; 170.75; 172.32
8356.0; 204.9; 207.21; 180.59; 179.96; 152.12; 180.31; 134.62; 122.12; 207.27; 214.86; 170.67; 172.77
8773.0; 203.81; 207.08; 180.71; 179.81; 152.02; 180.7; 134.67; 122.16; 207.36; 215.53; 170.57; 172.62
9211.0; 204.38; 207.43; 180.93; 180.01; 152.03; 180.85; 134.73; 122.53; 206.8; 215.78; 170.46; 172.42
9671.0; 204.71; 207.66; 181.48; 180.31; 152.66; 180.48; 134.55; 122.46; 207.28; 216.01; 170.28; 172.34
10154.0; 205.28; 207.98; 181.84; 180.71; 152.56; 180.99; 134.42; 122.27; 207.31; 216.62; 169.91; 172.5
10661.0; 206.23; 208.23; 182.37; 181.01; 152.32; 181.05; 134.57; 122.47; 207.55; 217.03; 169.92; 172.07
11194.0; 206.31; 208.17; 182.15; 181.16; 152.28; 180.58; 134.5; 122.23; 207.66; 217.24; 169.76; 172.1
11753.0; 206.26; 208.24; 182.56; 181.44; 152.19; 180.31; 134.72; 122.36; 206.99; 217.59; 169.95; 172.24
12340.0; 207.0; 208.26; 182.67; 181.73; 152.58; 180.41; 134.61; 122.25; 207.12; 218.07; 170.09; 172.27
12956.0; 207.19; 208.29; 183.02; 181.88; 152.59; 180.49; 134.59; 122.28; 207.48; 218.17; 170.08; 172.29
13603.0; 207.92; 208.63; 183.12; 182.02; 152.69; 180.63; 134.5; 122.38; 207.31; 219.25; 170.12; 172.38
14283.0; 208.44; 208.67; 183.43; 182.43; 152.68; 180.28; 134.42; 122.51; 207.13; 218.82; 170.24; 171.97
14997.0; 208.28; 208.68; 183.36; 182.49; 152.41; 180.92; 134.4; 122.23; 207.13; 219.29; 170.17; 171.95
15746.0; 208.65; 208.87; 183.61; 182.58; 152.47; 180.33; 134.36; 122.38; 207.49; 219.7; 170.17; 171.85
16533.0; 208.9; 208.71; 183.39; 182.68; 152.18; 180.63; 134.56; 122.28; 207.96; 220.12; 170.33; 172.39
17359.0; 209.27; 208.95; 183.41; 182.75; 152.47; 180.94; 134.6; 122.25; 207.82; 220.16; 170.1; 172.67
18226.0; 210.04; 209.03; 183.4; 182.97; 152.44; 181.07; 134.45; 122.52; 207.27; 220.39; 170.06; 172.54
19137.0; 210.34; 208.84; 183.54; 183.07; 152.37; 181.16; 134.64; 122.72; 207.38; 220.9; 170.12; 172.74
20093.0; 210.45; 209.2; 183.91; 183.27; 152.59; 180.91; 134.5; 122.87; 207.42; 221.21; 170.43; 172.51
21097.0; 210.97; 209.26; 183.94; 183.48; 152.58; 180.96; 134.38; 123.14; 207.52; 221.27; 170.26; 172.99
22151.0; 210.77; 209.22; 183.77; 183.21; 152.38; 180.58; 134.28; 123.24; 207.92; 221.7; 170.11; 172.66
23258.0; 210.98; 209.38; 184.17; 183.65; 152.71; 180.75; 134.3; 122.88; 207.79; 221.94; 170.22; 172.57
24420.0; 211.45; 209.0; 184.59; 183.78; 152.58; 181.0; 134.43; 122.8; 208.26; 222.27; 170.26; 172.82
25641.0; 211.57; 209.22; 184.42; 183.8; 152.73; 181.04; 134.35; 122.96; 207.99; 222.69; 170.35; 172.92
26923.0; 211.93; 209.45; 184.66; 183.82; 152.63; 181.05; 134.45; 123.01; 208.26; 223.3; 170.43; 172.94
28269.0; 212.77; 209.51; 184.89; 184.25; 152.74; 181.24; 134.42; 122.68; 207.76; 223.56; 170.42; 173.01
29682.0; 212.13; 209.42; 184.73; 184.37; 152.41; 181.33; 134.58; 122.61; 208.9; 224.06; 170.27; 172.93
31166.0; 212.24; 209.31; 184.95; 184.44; 153.07; 181.07; 134.35; 122.91; 208.31; 224.25; 170.38; 172.73
32724.0; 212.68; 209.72; 184.96; 184.66; 152.97; 181.16; 134.54; 123.22; 208.66; 224.82; 170.52; 173.39
34360.0; 212.1; 209.33; 185.03; 184.82; 153.12; 180.94; 134.57; 123.12; 208.77; 225.46; 170.58; 173.5
36077.0; 212.72; 209.38; 185.44; 184.79; 153.18; 180.83; 134.93; 123.34; 208.95; 225.65; 170.61; 173.34
37880.0; 212.67; 209.37; 185.36; 185.08; 153.38; 181.06; 134.84; 123.43; 208.67; 226.12; 170.42; 173.55
39773.0; 212.76; 209.25; 185.2; 184.81; 153.48; 181.2; 134.66; 123.53; 208.05; 226.52; 170.55; 173.52
41761.0; 212.63; 209.05; 185.25; 184.84; 153.31; 181.16; 134.51; 123.64; 208.3; 226.73; 170.52; 173.62
43849.0; 213.02; 208.9; 185.22; 184.89; 153.44; 181.19; 134.77; 123.67; 208.19; 227.24; 170.61; 173.7
46041.0; 212.66; 208.72; 185.22; 184.74; 153.47; 180.9; 134.37; 123.69; 207.52; 227.93; 170.35; 173.88
48343.0; 212.79; 208.43; 185.4; 184.72; 153.16; 181.28; 134.28; 123.6; 207.32; 228.33; 170.28; 174.1
50760.0; 212.61; 208.37; 185.16; 184.54; 153.53; 181.16; 134.26; 123.41; 207.13; 228.71; 170.47; 173.82
53297.0; 212.99; 208.36; 185.12; 184.44; 153.75; 181.12; 134.19; 123.42; 207.17; 229.09; 170.5; 173.59
55961.0; 212.89; 208.31; 185.22; 184.52; 153.77; 181.0; 134.57; 123.39; 207.41; 229.88; 170.46; 173.62
58759.0; 213.07; 207.95; 185.05; 184.72; 153.88; 180.92; 134.53; 123.54; 207.35; 230.09; 170.42; 173.46
61696.0; 212.69; 207.96; 184.89; 184.59; 153.84; 181.16; 134.69; 123.63; 206.93; 230.35; 170.45; 173.79
